id,Name,Version,Status,Data of Publication/Release,"Funding Reference/Provenance (academia, industry, hybrid)",Creator/Project,Country / Continent,Open source,Licence,Source Code,Documentation,Access,Access Point,User Target,Research Activities (taxonomy),Domain,Used Models,Conversational LLM,Method appliable,Source Scope,Knowledge Graph Completion / Creation,Knowledge Graph use,Knowledge Base type,KG Technology,Reasoning type,Pattern,Explainability support,Citation mechanism,Hallucination Mitigation Strategy,Bibliography generation,Supported Languages
36,OpenResearcher,1,completed,2024-08-01,academia,OpenResearcher,China / Asia,True,Apache 2.0,https://github.com/GAIR-NLP/OpenResearcher?tab=readme-ov-file,https://arxiv.org/pdf/2408.06941,free,,"researcher,student","research question formulation,literature discovery,hypothesis generation,gap detection,content generation,automatic citation",domain-specific,multimodel: GPT-based,True,RAG,online,False,False,,,,,True,document-level,retrieval augmentes,True,
37,ORKG ASK,1,completed,2026-05-01,academia,TIB-Leibniz Information Centre for Science and Technology,Germany / Europe,True,CC0 1.0,https://gitlab.com/TIBHannover/orkg/orkg-ask/,https://ceur-ws.org/Vol-3759/paper7.pdf,free,https://ask.orkg.org/,"researcher,student","research question formulation,literature discovery,gap detection,concept/entity extraction,content generation",general-purpose,Mistral Instruct 7B v0.2,True,"RAG,fine tuning",online,False,True,"""KG standard (Wikidata, OpenAlex, Semantic Scholar)""",RDF/OWL,neuro-symbolic,Graph RAG,True,passage-level,retrieval augmentes,True,
133,Research Rabbit,1,completed,2025-01-01,"industry,independent tool",Research Rabbit Lab,USA,False,,,https://www.researchrabbit.ai/features,freemium,https://www.researchrabbit.ai/,"researcher,student","literature discovery,gap detection,conceptual mapping,concept/entity extraction",general-purpose,graph-based machine learning,False,,online,True,False,,,,,True,document-level,,True,
67,Scholar Labs,1,active,2025-11-01,industry,Google,USA,False,,,https://blog.google/products-and-platforms/products/education/google-scholar-labs/,free,https://scholar.google.it/scholar_labs/search?hl=en,"researcher,librarian/knowledge manager,student","content generation,automatic citation,concept/entity extraction,literature discovery,automatic survey",general-purpose,"Deep Search, Gemini",True,RAG,online,False,False,,,,,False,document-level,,True,
265,Sci-bot,1,completed,2026-04-01,independent tool,Sci Hub,Kazakistan / Asia,True,Apache 2.0,https://github.com/CFN-softbio/SciBot,https://doi.org/10.1039/D3DD00112A,free,https://sci-bot.ru/,researcher,"literature discovery,concept/entity extraction,automatic citation,content generation",general-purpose,GPT,True,RAG,online,False,False,,,,,False,passage-level,retrieval augmentes,True,
35,SciNoBo,1,active,,industry,SciLake,Greece / Europe,True,,https://github.com/iNoBo,https://doi.org/10.1145/3487553.3524677,free,https://scinobo.ilsp.gr/,"researcher,student","record classification,literature discovery,automatic citation,content generation",general-purpose,"T5, graph based network analysis",True,RAG,online,False,True,"""KG standard (Wikidata, OpenAlex, Semantic Scholar)""","""Graph DB specifiche (Neo4j, Bazegraph)""",neuro-symbolic,Graph RAG,True,document-level,retrieval augmentes,False,
34,SciSpace,1,completed,2022-05-01,industry,,India / Asia,False,,,https://scispace.com/t/about/,freemium,https://scispace.com/,"researcher,student,librarian/knowledge manager","literature discovery,automatic survey,automatic citation,concept/entity extraction",general-purpose,"GPT, Claude",True,RAG,online,False,True,,,neuro-symbolic,,True,passage-level,retrieval augmentes,True,
232,Scite,1,completed,2018-01-01,hybrid,Research Solutions,USA,False,,,https://scite.ai/features,freemium,https://scite.ai/,"researcher,student,librarian/knowledge manager,industry R&D","literature discovery,conceptual mapping,gap detection,automatic citation",general-purpose,"Claude Sonnet 4.6, Claude Opus 4.6",True,RAG,online,True,False,KG dinamico generato on-the-fly,,neuro-symbolic,,True,passage-level,retrieval augmentes,True,
200,Semantic Scholar,1,completed,2015-11-01,hybrid,Allen Institute for Artificial Intelligence (AI2),USA,False,,,,free,https://www.semanticscholar.org/,"researcher,librarian/knowledge manager,industry R&D,student","automatic citation,concept/entity extraction,conceptual mapping,automatic survey,literature discovery,author detection",general-purpose,GPT,True,RAG,online,False,True,"""KG standard (Wikidata, OpenAlex, Semantic Scholar)""",,,,True,document-level,retrieval augmentes,True,
166,Storm,1,completed,2024-05-01,academia,Standford University,USA,True,storm LITE licences,https://github.com/stanford-oval/storm,,free,https://storm.genie.stanford.edu/,"researcher,industry R&D,student","literature discovery,automatic survey,content generation,concept/entity extraction",general-purpose,connection to various LLMs via API (both open and close),True,RAG,online,True,False,,,,,True,passage-level,retrieval augmentes,True,
39,TIB AIssistant,1,active,2025-12-05,academia,TIB-Leibniz Information Centre for Science and Technology,Germany / Europe,True,CC Attribution 3.0 Germany,https://gitlab.com/TIBHannover/orkg/tib-aissistant/web-app,https://tibhannover.gitlab.io/orkg/tib-aissistant/web-app/storybook/?path=/docs/introduction--docs,free,https://aissistant.tib.eu/,"researcher,student","research question formulation,literature discovery,hypothesis generation,automatic survey",general-purpose,GPT-4o mini,True,"RAG,fine tuning",online,False,True,"""KG standard (Wikidata, OpenAlex, Semantic Scholar)""",,neuro-symbolic,,True,passage-level,retrieval augmentes,True,
